Network Bandwidth,Server Location,Average Latency,No. of cores,Fog Name
5,,42,78,Fog Node 1
5,,34,48,Fog Node 2
1,,54,17,Fog Node 3
20,,29,19,Fog Node 4
9,,47,49,Fog Node 5
2,,54,55,Fog Node 6
15,,24,56,Fog Node 7
5,,37,53,Fog Node 8
6,,33,10,Fog Node 9
5,,49,71,Fog Node 10
7,,31,52,Fog Node 11
15,,23,64,Fog Node 12
15,,25,78,Fog Node 13
15,,26,19,Fog Node 14
6,,40,55,Fog Node 15
3,,53,35,Fog Node 16
2,,69,67,Fog Node 17
11,,15,24,Fog Node 18
16,,21,73,Fog Node 19
5,,32,50,Fog Node 20
16,,23,60,Fog Node 21
4,,69,33,Fog Node 22
5,,45,49,Fog Node 23
19,,21,23,Fog Node 24
6,,38,18,Fog Node 25
6,,47,51,Fog Node 26
18,,19,62,Fog Node 27
10,,22,64,Fog Node 28
12,,19,71,Fog Node 29
20,,19,21,Fog Node 30
10,,21,13,Fog Node 31
12,,15,19,Fog Node 32
14,,28,77,Fog Node 33
18,,20,26,Fog Node 34
1,,50,50,Fog Node 35
19,,19,62,Fog Node 36
10,,20,77,Fog Node 37
19,,17,45,Fog Node 38
12,,27,58,Fog Node 39
8,,46,11,Fog Node 40
14,,20,36,Fog Node 41
6,,45,27,Fog Node 42
6,,36,79,Fog Node 43
1,,51,75,Fog Node 44
15,,26,11,Fog Node 45
11,,27,63,Fog Node 46
9,,37,43,Fog Node 47
4,,57,76,Fog Node 48
1,,65,35,Fog Node 49
16,,17,60,Fog Node 50
18,,27,77,Fog Node 51
18,,21,70,Fog Node 52
12,,26,30,Fog Node 53
14,,30,70,Fog Node 54
19,,28,45,Fog Node 55
5,,45,54,Fog Node 56
10,,27,69,Fog Node 57
4,,80,60,Fog Node 58
12,,26,22,Fog Node 59
18,,25,19,Fog Node 60
16,,28,19,Fog Node 61
19,,17,40,Fog Node 62
20,,30,24,Fog Node 63
4,,59,54,Fog Node 64
10,,19,25,Fog Node 65
18,,19,78,Fog Node 66
9,,40,51,Fog Node 67
1,,79,68,Fog Node 68
1,,64,27,Fog Node 69
18,,18,23,Fog Node 70
18,,24,12,Fog Node 71
17,,16,22,Fog Node 72
4,,59,61,Fog Node 73
3,,56,43,Fog Node 74
5,,41,37,Fog Node 75
5,,32,37,Fog Node 76
15,,16,21,Fog Node 77
2,,53,70,Fog Node 78
16,,17,26,Fog Node 79
13,,21,78,Fog Node 80
18,,28,40,Fog Node 81
17,,23,52,Fog Node 82
8,,42,46,Fog Node 83
20,,20,42,Fog Node 84
19,,22,16,Fog Node 85
20,,19,16,Fog Node 86
2,,64,70,Fog Node 87
19,,16,62,Fog Node 88
19,,30,32,Fog Node 89
6,,32,45,Fog Node 90
20,,16,78,Fog Node 91
2,,52,32,Fog Node 92
14,,27,38,Fog Node 93
9,,48,46,Fog Node 94
1,,60,52,Fog Node 95
9,,45,37,Fog Node 96
18,,15,24,Fog Node 97
20,,28,29,Fog Node 98
2,,63,62,Fog Node 99
